GroupBy,fitzpatrick,sex,ageGroup,Support,Macro-TPR,Macro-FPR,Micro-TPR,Micro-FPR,TP,FP,FN,TN,Eczema_FN,Eczema_FP,Eczema_FPR,Eczema_TN,Eczema_TP,Eczema_TPR,Fungal_FN,Fungal_FP,Fungal_FPR,Fungal_TN,Fungal_TP,Fungal_TPR,Others_FN,Others_FP,Others_FPR,Others_TN,Others_TP,Others_TPR,Scabies_FN,Scabies_FP,Scabies_FPR,Scabies_TN,Scabies_TP,Scabies_TPR
"sex, ageGroup",,m,40-44,8,0.0,0.25,0.0,0.33,0,8,8,16,2,1,0.16,5,0,0.0,6,0,0.0,2,0,0.0,0,3,0.37,5,0,0.0,0,4,0.5,4,0,0.0
"sex, ageGroup",,m,45-49,6,0.0,0.25,0.0,0.33,0,6,6,12,1,1,0.2,4,0,0.0,5,0,0.0,1,0,0.0,0,0,0.0,6,0,0.0,0,5,0.83,1,0,0.0
"sex, ageGroup",,m,5-9,147,0.21,0.29,0.17,0.27,25,122,122,319,7,3,0.02,120,17,0.7,48,49,0.52,45,5,0.09,28,24,0.2,94,1,0.03,39,46,0.43,60,2,0.04
"sex, ageGroup",,m,50-54,7,0.0,0.46,0.0,0.33,0,7,7,14,0,1,0.14,6,0,0.0,1,0,0.0,6,0,0.0,0,5,0.71,2,0,0.0,6,1,1.0,0,0,0.0
"sex, ageGroup",,m,55-59,4,0.0,0.25,0.0,0.33,0,4,4,8,0,0,0.0,4,0,0.0,4,0,0.0,0,0,0.0,0,3,0.75,1,0,0.0,0,1,0.25,3,0,0.0
"fitzpatrick, sex, ageGroup",3.0,f,0-4,70,0.18,0.2,0.25,0.24,18,52,52,158,6,5,0.1,41,18,0.75,0,21,0.3,49,0,0.0,6,24,0.37,40,0,0.0,40,2,0.06,28,0,0.0
"fitzpatrick, sex, ageGroup",3.0,f,10-14,7,0.25,0.12,0.57,0.14,4,3,3,18,0,0,0.0,3,4,1.0,1,0,0.0,6,0,0.0,0,2,0.28,5,0,0.0,2,1,0.2,4,0,0.0
"fitzpatrick, sex, ageGroup",3.0,f,15-19,1,0.25,0.0,1.0,0.0,1,0,0,3,0,0,0.0,0,1,1.0,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0
"fitzpatrick, sex, ageGroup",3.0,f,20-24,5,0.0,0.4,0.0,0.33,0,5,5,10,1,0,0.0,4,0,0.0,1,0,0.0,4,0,0.0,0,3,0.6,2,0,0.0,3,2,1.0,0,0,0.0
"fitzpatrick, sex, ageGroup",3.0,f,25-29,10,0.22,0.2,0.3,0.23,3,7,7,23,1,0,0.0,7,2,0.66,3,0,0.0,7,0,0.0,0,5,0.5,5,0,0.0,3,2,0.33,4,1,0.25
"fitzpatrick, sex, ageGroup",3.0,f,30-34,3,0.0,0.24,0.0,0.33,0,3,3,6,0,1,0.33,2,0,0.0,2,0,0.0,1,0,0.0,0,2,0.66,1,0,0.0,1,0,0.0,2,0,0.0
"fitzpatrick, sex, ageGroup",3.0,f,35-39,8,0.15,0.27,0.37,0.2,3,5,5,19,0,2,0.25,6,0,0.0,3,1,0.2,4,0,0.0,2,2,0.66,1,3,0.6,0,0,0.0,8,0,0.0
